id,name,age,gender,phone_number
202,Dilnoza,18,Ayol,9.98974E+11
203,Mehriniso,57,Ayol,9.98337E+11
204,Aziz,27,Erkak,9.98906E+11
205,Sitora,26,Ayol,9.98906E+11
206,Shahzod,33,Erkak,9.98336E+11
207,Malika,36,Ayol,9.9891E+11
208,Javlon,30,Erkak,9.98979E+11
209,Sherzod,54,Erkak,9.98972E+11
210,Sardor,42,Erkak,9.98906E+11
211,Dilnoza,25,Ayol,9.98971E+11
212,Dilnoza,40,Ayol,9.98338E+11
213,Nargiza,23,Ayol,9.98332E+11
214,Shahnoza,22,Ayol,9.98979E+11
215,Sardor,32,Erkak,9.98331E+11
216,Sardor,22,Erkak,9.98978E+11
217,Javlon,47,Erkak,9.98333E+11
218,Nigora,32,Ayol,9.98975E+11
219,Aziz,56,Erkak,9.98972E+11
220,Zilola,47,Ayol,9.98338E+11
221,Zilola,40,Ayol,9.98978E+11
222,Aziz,24,Erkak,9.98979E+11
223,Shahzod,59,Erkak,9.98971E+11
224,Bekzod,29,Erkak,9.9898E+11
225,Nigora,39,Ayol,9.98972E+11
226,Ulug'bek,34,Erkak,9.98976E+11
227,Shahzod,61,Erkak,9.98976E+11
228,Sardor,24,Erkak,9.98975E+11
229,Nigora,62,Ayol,9.98976E+11
230,Shahzod,60,Erkak,9.98909E+11
231,Shahnoza,53,Ayol,9.98904E+11
232,Ulug'bek,49,Erkak,9.98337E+11
233,Mehriniso,43,Ayol,9.98973E+11
234,Malika,21,Ayol,9.98336E+11
235,Dilnoza,56,Ayol,9.98333E+11
236,Shahnoza,41,Ayol,9.98975E+11
237,Sherzod,59,Erkak,9.98906E+11
238,Zilola,28,Ayol,9.98908E+11
239,Javlon,51,Erkak,9.98902E+11
240,Javlon,61,Erkak,9.9891E+11
241,Aziz,64,Erkak,9.98974E+11
242,Nigora,55,Ayol,9.98335E+11
243,Nigora,62,Ayol,9.98904E+11
244,Malika,24,Ayol,9.98333E+11
245,Bekzod,50,Erkak,9.98337E+11
246,Aziz,27,Erkak,9.98971E+11
247,Shahzod,40,Erkak,9.98978E+11
248,Sardor,26,Erkak,9.98338E+11
249,Zilola,25,Ayol,9.98906E+11
250,Dilnoza,43,Ayol,9.9898E+11
251,Malika,62,Ayol,9.98976E+11
252,Sherzod,41,Erkak,9.98904E+11
253,Nigora,46,Ayol,9.98909E+11
254,Ulug'bek,50,Erkak,9.98337E+11
255,Mehriniso,25,Ayol,9.98978E+11
256,Nigora,26,Ayol,9.98905E+11
257,Shahnoza,32,Ayol,9.98334E+11
258,Mehriniso,43,Ayol,9.98332E+11
259,Malika,20,Ayol,9.98972E+11
260,Aziz,25,Erkak,9.98905E+11
261,Zilola,51,Ayol,9.98335E+11
262,Ali,31,Erkak,9.98335E+11
263,Sardor,39,Erkak,9.98979E+11
264,Shahzod,55,Erkak,9.98909E+11
265,Dilnoza,28,Ayol,9.98976E+11
266,Kamol,53,Erkak,9.98976E+11
267,Zilola,61,Ayol,9.9834E+11
268,Nargiza,51,Ayol,9.98973E+11
269,Sherzod,63,Erkak,9.98339E+11
270,Malika,65,Ayol,9.98332E+11
271,Sherzod,27,Erkak,9.98909E+11
272,Shahzod,43,Erkak,9.98908E+11
273,Malika,31,Ayol,9.98332E+11
274,Mehriniso,50,Ayol,9.98907E+11
275,Aziz,58,Erkak,9.98902E+11
276,Sherzod,45,Erkak,9.98909E+11
277,Kamol,37,Erkak,9.98905E+11
278,Javlon,39,Erkak,9.98975E+11
279,Kamol,35,Erkak,9.98907E+11
280,Nargiza,39,Ayol,9.98976E+11
281,Sherzod,49,Erkak,9.98976E+11
282,Bekzod,63,Erkak,9.98336E+11
283,Nigora,34,Ayol,9.98908E+11
284,Shahnoza,63,Ayol,9.98972E+11
285,Ulug'bek,65,Erkak,9.98906E+11
286,Malika,19,Ayol,9.98905E+11
287,Nigora,51,Ayol,9.98971E+11
288,Shahzod,25,Erkak,9.98979E+11
289,Shahzod,31,Erkak,9.98976E+11
290,Dilnoza,55,Ayol,9.98976E+11
291,Kamol,53,Erkak,9.98972E+11
292,Nigora,62,Ayol,9.98338E+11
293,Zilola,22,Ayol,9.98974E+11
294,Sitora,57,Ayol,9.98334E+11
295,Mehriniso,57,Ayol,9.98332E+11
296,Sherzod,63,Erkak,9.98973E+11
297,Sherzod,51,Erkak,9.98336E+11
298,Sitora,39,Ayol,9.98909E+11
299,Aziz,34,Erkak,9.98332E+11
300,Malika,42,Ayol,9.98908E+11
301,Aziz,22,Erkak,9.98332E+11
302,Ali,37,Erkak,9.98908E+11
303,Javlon,47,Erkak,9.9891E+11
304,Shahnoza,35,Ayol,9.98908E+11
305,Malika,41,Ayol,9.98903E+11
306,Dilnoza,40,Ayol,9.98906E+11
307,Sherzod,51,Erkak,9.98975E+11
308,Mehriniso,21,Ayol,9.98907E+11
309,Dilnoza,32,Ayol,9.98332E+11
310,Aziz,34,Erkak,9.98978E+11
311,Sitora,55,Ayol,9.98339E+11
312,Aziz,58,Erkak,9.98903E+11
313,Sherzod,41,Erkak,9.98334E+11
314,Ulug'bek,52,Erkak,9.98337E+11
315,Mehriniso,63,Ayol,9.9834E+11
316,Dilnoza,18,Ayol,9.98334E+11
317,Kamol,40,Erkak,9.98336E+11
318,Ali,22,Erkak,9.98978E+11
319,Kamol,35,Erkak,9.98902E+11
320,Javlon,60,Erkak,9.98974E+11
321,Sitora,65,Ayol,9.98978E+11
322,Javlon,54,Erkak,9.98972E+11
323,Sardor,57,Erkak,9.98332E+11
324,Zilola,60,Ayol,9.98909E+11
325,Dilnoza,31,Ayol,9.98333E+11
326,Dilnoza,46,Ayol,9.98908E+11
327,Aziz,54,Erkak,9.98972E+11
328,Dilnoza,48,Ayol,9.98337E+11
329,Shahnoza,41,Ayol,9.98977E+11
330,Ulug'bek,65,Erkak,9.98977E+11
331,Aziz,39,Erkak,9.9891E+11
332,Sitora,50,Ayol,9.98909E+11
333,Nigora,38,Ayol,9.98332E+11
334,Ali,52,Erkak,9.98335E+11
335,Shahzod,37,Erkak,9.98906E+11
336,Kamol,49,Erkak,9.98903E+11
337,Nigora,24,Ayol,9.98339E+11
338,Mehriniso,26,Ayol,9.98971E+11
339,Sitora,22,Ayol,9.98333E+11
340,Mehriniso,65,Ayol,9.98972E+11
341,Shahnoza,55,Ayol,9.98907E+11
342,Sitora,59,Ayol,9.98904E+11
343,Sherzod,44,Erkak,9.98909E+11
344,Shahnoza,46,Ayol,9.98335E+11
345,Ali,64,Erkak,9.98906E+11
346,Ulug'bek,27,Erkak,9.98331E+11
347,Sitora,54,Ayol,9.98979E+11
348,Bekzod,56,Erkak,9.98337E+11
349,Sherzod,65,Erkak,9.98972E+11
350,Aziz,41,Erkak,9.98909E+11
351,Ulug'bek,65,Erkak,9.98974E+11
352,Bekzod,37,Erkak,9.98905E+11
353,Shahnoza,27,Ayol,9.98338E+11
354,Malika,31,Ayol,9.98972E+11
355,Shahnoza,23,Ayol,9.98339E+11
356,Sherzod,53,Erkak,9.98335E+11
357,Ali,38,Erkak,9.98977E+11
358,Javlon,57,Erkak,9.98905E+11
359,Nigora,55,Ayol,9.98908E+11
360,Aziz,56,Erkak,9.98903E+11
361,Sitora,47,Ayol,9.98902E+11
362,Shahnoza,21,Ayol,9.98333E+11
363,Sitora,64,Ayol,9.98906E+11
364,Ulug'bek,36,Erkak,9.98338E+11
365,Ali,55,Erkak,9.98972E+11
366,Zilola,24,Ayol,9.98972E+11
367,Ali,62,Erkak,9.98339E+11
368,Nargiza,42,Ayol,9.98973E+11
369,Zilola,41,Ayol,9.98333E+11
370,Ali,55,Erkak,9.98976E+11
371,Ali,62,Erkak,9.98973E+11
372,Aziz,42,Erkak,9.9834E+11
373,Nigora,40,Ayol,9.98909E+11
374,Aziz,64,Erkak,9.98971E+11
375,Dilnoza,55,Ayol,9.98339E+11
376,Zilola,26,Ayol,9.98971E+11
377,Aziz,35,Erkak,9.98336E+11
378,Sitora,57,Ayol,9.98337E+11
379,Aziz,25,Erkak,9.98905E+11
380,Shahnoza,54,Ayol,9.98906E+11
381,Malika,32,Ayol,9.98903E+11
382,Aziz,31,Erkak,9.98338E+11
383,Ulug'bek,23,Erkak,9.9891E+11
384,Mehriniso,55,Ayol,9.98332E+11
385,Aziz,27,Erkak,9.98334E+11
386,Bekzod,50,Erkak,9.98335E+11
387,Shahzod,26,Erkak,9.98909E+11
388,Kamol,62,Erkak,9.98336E+11
389,Nigora,61,Ayol,9.98337E+11
390,Malika,56,Ayol,9.98909E+11
391,Bekzod,19,Erkak,9.98904E+11
392,Malika,53,Ayol,9.98977E+11
393,Kamol,56,Erkak,9.98904E+11
394,Sitora,56,Ayol,9.98971E+11
395,Ali,29,Erkak,9.98339E+11
396,Javlon,38,Erkak,9.98338E+11
397,Javlon,22,Erkak,9.98905E+11
398,Nigora,40,Ayol,9.98331E+11
399,Sitora,47,Ayol,9.98336E+11
400,Shahzod,34,Erkak,9.98909E+11
401,Kamol,41,Erkak,9.98908E+11
402,Sitora,32,Ayol,9.98904E+11
403,Mehriniso,33,Ayol,9.98908E+11
404,Dilnoza,28,Ayol,9.98337E+11
405,Ali,30,Erkak,9.98978E+11
406,Aziz,62,Erkak,9.98337E+11
407,Bekzod,40,Erkak,9.98904E+11
408,Sherzod,24,Erkak,9.98972E+11
409,Shahnoza,48,Ayol,9.98333E+11
410,Shahnoza,23,Ayol,9.98907E+11
411,Zilola,55,Ayol,9.98975E+11
412,Aziz,22,Erkak,9.98977E+11
413,Malika,34,Ayol,9.98331E+11
414,Sherzod,34,Erkak,9.98335E+11
415,Javlon,42,Erkak,9.98908E+11
416,Sitora,36,Ayol,9.98338E+11
417,Dilnoza,20,Ayol,9.98979E+11
418,Sardor,36,Erkak,9.98332E+11
419,Malika,52,Ayol,9.98901E+11
420,Sherzod,40,Erkak,9.98902E+11
421,Ulug'bek,61,Erkak,9.98978E+11
422,Kamol,63,Erkak,9.98976E+11
423,Shahzod,32,Erkak,9.98336E+11
424,Shahzod,62,Erkak,9.98973E+11
425,Javlon,62,Erkak,9.98976E+11
426,Shahzod,62,Erkak,9.98909E+11
427,Ulug'bek,29,Erkak,9.98339E+11
428,Javlon,37,Erkak,9.98335E+11
429,Sherzod,38,Erkak,9.98905E+11
430,Nargiza,47,Ayol,9.98334E+11
431,Mehriniso,38,Ayol,9.98338E+11
432,Shahnoza,23,Ayol,9.98973E+11
433,Kamol,19,Erkak,9.98908E+11
434,Nigora,18,Ayol,9.98905E+11
435,Ulug'bek,35,Erkak,9.98905E+11
436,Sitora,32,Ayol,9.98902E+11
437,Malika,28,Ayol,9.98901E+11
438,Sardor,20,Erkak,9.98908E+11
439,Shahzod,29,Erkak,9.98974E+11
440,Mehriniso,49,Ayol,9.98339E+11
441,Sardor,18,Erkak,9.98338E+11
442,Nargiza,30,Ayol,9.98976E+11
443,Ulug'bek,29,Erkak,9.9898E+11
444,Sitora,59,Ayol,9.98978E+11
445,Nargiza,32,Ayol,9.98334E+11
446,Aziz,30,Erkak,9.98977E+11
447,Sitora,47,Ayol,9.98975E+11
448,Nargiza,56,Ayol,9.98904E+11
449,Javlon,30,Erkak,9.98332E+11
450,Shahnoza,60,Ayol,9.98974E+11
451,Aziz,49,Erkak,9.98978E+11
452,Ali,45,Erkak,9.98905E+11
453,Ulug'bek,54,Erkak,9.98338E+11
454,Shahzod,33,Erkak,9.98334E+11
455,Dilnoza,34,Ayol,9.98975E+11
456,Nargiza,41,Ayol,9.98903E+11
457,Dilnoza,45,Ayol,9.98907E+11
458,Shahzod,32,Erkak,9.98902E+11
459,Zilola,62,Ayol,9.98973E+11
460,Zilola,21,Ayol,9.9891E+11
461,Zilola,22,Ayol,9.98973E+11
462,Sardor,55,Erkak,9.98909E+11
463,Mehriniso,64,Ayol,9.98906E+11
464,Nigora,48,Ayol,9.9834E+11
465,Aziz,33,Erkak,9.98902E+11
466,Ali,31,Erkak,9.9898E+11
467,Sherzod,60,Erkak,9.98974E+11
468,Sitora,34,Ayol,9.9891E+11
469,Zilola,49,Ayol,9.9834E+11
470,Aziz,55,Erkak,9.98337E+11
471,Malika,54,Ayol,9.98979E+11
472,Malika,41,Ayol,9.98336E+11
473,Mehriniso,63,Ayol,9.98337E+11
474,Sitora,22,Ayol,9.98904E+11
475,Sitora,57,Ayol,9.98332E+11
476,Sitora,55,Ayol,9.98972E+11
477,Dilnoza,63,Ayol,9.98905E+11
478,Shahnoza,35,Ayol,9.98906E+11
479,Shahnoza,34,Ayol,9.98339E+11
480,Javlon,41,Erkak,9.98973E+11
481,Shahnoza,35,Ayol,9.98977E+11
482,Kamol,34,Erkak,9.98338E+11
483,Bekzod,50,Erkak,9.98904E+11
484,Sitora,25,Ayol,9.98337E+11
485,Javlon,20,Erkak,9.98978E+11
486,Sardor,31,Erkak,9.98901E+11
487,Nargiza,38,Ayol,9.98335E+11
488,Ulug'bek,46,Erkak,9.98904E+11
489,Malika,64,Ayol,9.98974E+11
490,Kamol,62,Erkak,9.98902E+11
491,Sitora,41,Ayol,9.98338E+11
492,Ali,44,Erkak,9.98909E+11
493,Aziz,44,Erkak,9.98902E+11
494,Malika,33,Ayol,9.9898E+11
495,Ulug'bek,50,Erkak,9.98973E+11
496,Javlon,50,Erkak,9.98976E+11
497,Shahzod,59,Erkak,9.98975E+11
498,Javlon,24,Erkak,9.98973E+11
499,Zilola,58,Ayol,9.98336E+11
500,Mehriniso,34,Ayol,9.98971E+11
501,Nargiza,46,Ayol,9.98975E+11
502,Nargiza,48,Ayol,9.98976E+11
503,Zilola,44,Ayol,9.98332E+11
504,Sitora,31,Ayol,9.98974E+11
505,Dilnoza,56,Ayol,9.98903E+11
506,Javlon,34,Erkak,9.98977E+11
507,Aziz,55,Erkak,9.9834E+11
508,Sardor,40,Erkak,9.98976E+11
509,Kamol,55,Erkak,9.98337E+11
510,Ali,65,Erkak,9.98908E+11
511,Malika,31,Ayol,9.98337E+11
512,Sitora,26,Ayol,9.98335E+11
513,Nigora,29,Ayol,9.98976E+11
514,Zilola,56,Ayol,9.98332E+11
515,Zilola,18,Ayol,9.98335E+11
516,Sardor,63,Erkak,9.98338E+11
517,Aziz,50,Erkak,9.98902E+11
518,Mehriniso,24,Ayol,9.98332E+11
519,Shahnoza,51,Ayol,9.98905E+11
520,Sitora,35,Ayol,9.98902E+11
521,Bekzod,51,Erkak,9.98977E+11
522,Ali,36,Erkak,9.98909E+11
523,Sardor,33,Erkak,9.98973E+11
524,Zilola,60,Ayol,9.9834E+11
525,Nigora,61,Ayol,9.98904E+11
526,Zilola,34,Ayol,9.98906E+11
527,Nigora,57,Ayol,9.98901E+11
528,Dilnoza,61,Ayol,9.98978E+11
529,Bekzod,56,Erkak,9.98908E+11
530,Aziz,38,Erkak,9.98338E+11
531,Zilola,55,Ayol,9.98339E+11
532,Bekzod,25,Erkak,9.98975E+11
533,Javlon,55,Erkak,9.98331E+11
534,Zilola,45,Ayol,9.98978E+11
535,Ali,42,Erkak,9.98975E+11
536,Shahzod,58,Erkak,9.98904E+11
537,Sherzod,41,Erkak,9.98973E+11
538,Dilnoza,47,Ayol,9.98906E+11
539,Sitora,55,Ayol,9.98974E+11
540,Sitora,18,Ayol,9.98331E+11
541,Zilola,35,Ayol,9.98973E+11
542,Javlon,19,Erkak,9.98905E+11
543,Ulug'bek,27,Erkak,9.98908E+11
544,Mehriniso,34,Ayol,9.98902E+11
545,Nigora,29,Ayol,9.98972E+11
546,Nigora,55,Ayol,9.98907E+11
547,Dilnoza,34,Ayol,9.98332E+11
548,Bekzod,39,Erkak,9.98904E+11
549,Mehriniso,40,Ayol,9.98337E+11
550,Zilola,47,Ayol,9.98909E+11
551,Aziz,52,Erkak,9.98973E+11
552,Javlon,38,Erkak,9.98902E+11
553,Aziz,41,Erkak,9.98975E+11
554,Aziz,20,Erkak,9.98337E+11
555,Sardor,64,Erkak,9.98906E+11
556,Malika,51,Ayol,9.98902E+11
557,Ulug'bek,50,Erkak,9.98338E+11
558,Sitora,31,Ayol,9.98974E+11
559,Aziz,22,Erkak,9.98909E+11
560,Sherzod,58,Erkak,9.98909E+11
561,Sardor,61,Erkak,9.98975E+11
562,Bekzod,36,Erkak,9.98977E+11
563,Sitora,48,Ayol,9.98907E+11
564,Sardor,35,Erkak,9.98975E+11
565,Dilnoza,49,Ayol,9.98336E+11
566,Sitora,53,Ayol,9.9891E+11
567,Mehriniso,39,Ayol,9.98903E+11
568,Sardor,44,Erkak,9.98907E+11
569,Sherzod,57,Erkak,9.98972E+11
570,Sherzod,21,Erkak,9.98978E+11
571,Sitora,56,Ayol,9.9898E+11
572,Ulug'bek,29,Erkak,9.98904E+11
573,Aziz,19,Erkak,9.98333E+11
574,Mehriniso,62,Ayol,9.98979E+11
575,Shahzod,40,Erkak,9.98903E+11
576,Zilola,42,Ayol,9.98908E+11
577,Nargiza,29,Ayol,9.98973E+11
578,Sitora,22,Ayol,9.98334E+11
579,Malika,41,Ayol,9.98336E+11
580,Sitora,49,Ayol,9.98906E+11
581,Dilnoza,40,Ayol,9.98904E+11
582,Malika,26,Ayol,9.98909E+11
583,Nargiza,49,Ayol,9.98903E+11
584,Nargiza,51,Ayol,9.98972E+11
585,Mehriniso,28,Ayol,9.98907E+11
586,Malika,18,Ayol,9.98906E+11
587,Javlon,19,Erkak,9.98905E+11
588,Aziz,51,Erkak,9.98972E+11
589,Mehriniso,19,Ayol,9.98331E+11
590,Shahnoza,50,Ayol,9.98339E+11
591,Nargiza,20,Ayol,9.98909E+11
592,Malika,63,Ayol,9.98977E+11
593,Bekzod,57,Erkak,9.98902E+11
594,Shahnoza,25,Ayol,9.98336E+11
595,Aziz,36,Erkak,9.98906E+11
596,Sitora,39,Ayol,9.98333E+11
597,Sherzod,38,Erkak,9.98975E+11
598,Malika,29,Ayol,9.98908E+11
599,Dilnoza,53,Ayol,9.98334E+11
600,Sherzod,38,Erkak,9.98331E+11
601,Javlon,57,Erkak,9.98904E+11
602,Sardor,18,Erkak,9.98908E+11
603,Sitora,56,Ayol,9.98973E+11
604,Zilola,32,Ayol,9.98334E+11
605,Sitora,32,Ayol,9.98332E+11
606,Shahzod,45,Erkak,9.98978E+11
607,Shahnoza,46,Ayol,9.98336E+11
608,Malika,18,Ayol,9.98904E+11
609,Shahnoza,61,Ayol,9.98909E+11
610,Shahnoza,45,Ayol,9.98909E+11
611,Zilola,31,Ayol,9.98909E+11
612,Kamol,19,Erkak,9.98338E+11
613,Zilola,34,Ayol,9.9891E+11
614,Dilnoza,48,Ayol,9.98907E+11
615,Shahnoza,18,Ayol,9.98333E+11
616,Sitora,35,Ayol,9.98905E+11
617,Javlon,21,Erkak,9.98337E+11
618,Shahnoza,50,Ayol,9.98335E+11
